"wine_name","region","country","rating_average","rating_count","average_price"
"60 Sessantanni Old Vines Primitivo di Manduria",Primitivo di Manduria,Italie,4.5,94289,24.75
Vinhas Velhas Tinto,Alentejo,Portugal,4.5,736,29.95
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,Primitivo di Manduria,Italie,4.5,5016,31.45
Ice Wine de Purcari,South Eastern,Moldavie,4.5,722,33.17
Negru de Purcari Limited Edition,South Eastern,Moldavie,4.5,970,33.17
Limited Edition 10 Vendemmie,Montepulciano d'Abruzzo,Italie,4.5,9453,34.2
Kalós Cru Gran Reserva Malbec,Mendoza,Argentine,4.5,3351,34.85
Terrasse à l'Ombre Côtes du Rhône,Côtes-du-Rhône,France,4.5,819,34.95
Lupi Rezerva,Moldova,Moldavie,4.5,7604,36.55
Yarden Katzrin,Galilee,Israël,4.5,894,37.05
