"name","country","ratings_average","ratings_count","avg_price","entry_price","most_recent_vintage","vintage_count","score"
Book 17 XVII,Afrique du Sud,4.7,814,242.75,210.0,2020,2,13.679934702979246
Vin Santo di Montepulciano,Italie,4.6,773,315.89285714285717,287.5,1994,7,13.285625672024294
De Buris Amarone della Valpolicella Classico Riserva,Italie,4.7,574,448.75,448.75,2010,2,12.966885894270476
Finca Garbet,Espagne,4.6,573,168.0,168.0,2015,1,12.687511261049993
Eszencia,Hongrie,4.7,488,480.37,480.37,2011,1,12.63557316341274
The Black Lion,Afrique du Sud,4.7,476,242.75,210.0,2020,2,12.584752677786318
Cabernet Sauvignon Coeur De Vallée,États-Unis,4.6,544,295.0,295.0,2019,1,12.583754938611627
Ampio,Italie,4.6,481,331.25,331.25,2018,1,12.337867351319625
Tordiz 40 Year Old Tawny Port,Portugal,4.6,474,337.5,337.5,N.V.,1,12.308580371700792
L'Extravagant de Doisy-Daëne Sauternes,France,4.6,465,320.6025,276.25,2010,4,12.270283583293788
